Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",0402,2,4.7uF,C23733
"C2, C3, C7, C9",0402,4,100nF,C1525
"C4, C5, C6, CR2",0402,4,1uF,C52923
CR1,0402,1,10uF,C15525
D1,SOT-143,1,PRTR5V0U2X,C2827688
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D7, D8, D9",D_SOD-123,60,1N4148W,C81598
F1,1206,1,500mA,C69688
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX3, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX52, MX53, MX55, MX56, MX58, MX6, MX60, MX7, MX8, MX9",SW_MX_HS_CPG151101S11_1u,54,MX_SW_HS,C5184526
"MX16, MX29, MX57, MX59",SW_MX_HS_CPG151101S11_1.5u,4,MX_SW_HS,C5184526
"MX30, MX54",SW_MX_HS_CPG151101S11_1.75u,2,MX_SW_HS,C5184526
QR1,SOT-23,1,2N7002,C8545
"R1, R2",0402,2,5k1,C25905
RR1,0402,1,33k,C25779
RR2,0402,1,10k,C25744
RR3,0402,1,100k,C25741
SWR1,SW_SPST_TL3342,1,TS-1187A-B-A-B,C318884
U1,SOT-23,1,XC6206P332MR,C5446
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
